id,title,company,domain,district,location,salary_range,lat,lng,source_label,source_url,description,badges,posted_days_ago
opp_001,Junior Python Developer,Zoho Corporation,Software Development,Chennai,"Chennai, TN (On-site)",INR 4.5L - 6.5L / yr,12.8398,80.0442,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Develop automated data processing tools and backend modules using Python and PostgreSQL.,Verified Employer;High Demand;Fresher Friendly,1
opp_036,Warehouse Logistics Specialist,Reliance Retail Logistics,Vocational & Operations,Coimbatore,"Coimbatore, TN (On-site)",INR 3.5L - 4.8L / yr,11.0168,76.9558,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Manage SKU dispatch counts, warehouse inbound staging, and bin location tracking systems.",Logistics Hub;District Eligible,8
opp_037,Customer Success Representative,Titan Company Ltd,Vocational & Operations,Kanchipuram,"Kanchipuram, TN (On-site)",INR 3.2L - 4.5L / yr,12.8342,79.7036,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Provide premium customer assistance, handle product consultations, and coordinate warranty services.",Retail Excellence;District Eligible,9
opp_038,Automotive Quality Inspector,Hyundai Motor India,Vocational & Operations,Sriperumbudur / Kanchipuram,"Sriperumbudur, TN (On-site)",INR 4.0L - 5.6L / yr,12.9702,79.9484,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Conduct physical and gauge inspections on vehicle sub-assemblies before rollout testing.,Automotive Major;District Eligible,10
opp_039,Python Data Pipeline Developer,Analytics Quotient,Software Development,Salem,"Salem, TN (On-site)",INR 4.5L - 6.5L / yr,11.6643,78.146,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Build scheduled data pipelines extracting from web APIs and SQL.,Verified Employer;District Eligible,11
opp_040,Core Java Developer Trainee,Mindtree Campus,Software Development,Erode,"Erode, TN (On-site)",INR 4.2L - 5.8L / yr,11.341,77.7172,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Program object-oriented Java modules for logistics tracking applications.,Verified Employer;District Eligible,12
opp_041,Frontend UI Developer (React),Zeta Suite,Web Development,Tirunelveli,"Tirunelveli, TN (On-site)",INR 5.2L - 7.5L / yr,8.7139,77.7567,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Build high-speed fintech checkout forms using React and responsive CSS.,Verified Employer;District Eligible,13
opp_042,Full Stack Web Developer,Hasura,Web Development,Vellore,"Vellore, TN (On-site)",INR 6.5L - 9.5L / yr,12.9165,79.1325,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Connect GraphQL and REST APIs with PostgreSQL databases and React.,Verified Employer;District Eligible,14
opp_043,Data Visualisation Analyst,Visual BI Solutions,Data Analytics,Chennai,"Chennai, TN (Hybrid)",INR 4.2L - 6.0L / yr,13.0827,80.2707,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Design interactive drill-down reports and KPI charts for management.,Verified Employer;District Eligible,1
opp_044,Junior Data Scientist,Gramener,Data Analytics,Bangalore,"Bangalore, KA (Hybrid)",INR 5.5L - 8.0L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Extract storytelling insights and predictive models from municipal datasets.,Verified Employer;District Eligible,2
opp_045,Cloud Operations Engineer,Sify Technologies,Cloud & DevOps,Hyderabad,"Hyderabad, TS (Hybrid)",INR 3.8L - 5.4L / yr,17.385,78.4867,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Monitor data center servers, network bandwidth, and cloud instances.",Verified Employer;District Eligible,3
opp_046,DevOps Pipeline Associate,Redington India,Cloud & DevOps,Coimbatore,"Coimbatore, TN (On-site)",INR 4.8L - 6.8L / yr,11.0168,76.9558,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Maintain CI/CD Jenkins and GitHub Actions jobs packaging Docker containers.,Verified Employer;District Eligible,4
opp_047,Android Mobile Engineer,BankBazaar,Mobile Development,Salem,"Salem, TN (On-site)",INR 4.8L - 7.0L / yr,11.6643,78.146,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Develop Android financial loan eligibility screens and secure token flows.,Verified Employer;District Eligible,5
opp_048,Cross-Platform Mobile Developer,Dunzo,Mobile Development,Erode,"Erode, TN (On-site)",INR 5.5L - 8.0L / yr,11.341,77.7172,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Engineer real-time delivery tracking maps and consumer Flutter apps.,Verified Employer;District Eligible,6
opp_049,Database Query Specialist,Equitas Small Finance Bank,Database,Tirunelveli,"Tirunelveli, TN (On-site)",INR 3.8L - 5.0L / yr,8.7139,77.7567,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Run audit queries and maintain banking customer tables in SQL.,Verified Employer;District Eligible,7
opp_050,Information Security Associate,Paladion Networks,Cybersecurity,Vellore,"Vellore, TN (On-site)",INR 4.5L - 6.5L / yr,12.9165,79.1325,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Scan web endpoints for OWASP vulnerabilities and compile risk reports.,Verified Employer;District Eligible,8
opp_051,Network Infrastructure Trainee,Spectranet,Networking,Chennai,"Chennai, TN (Hybrid)",INR 3.2L - 4.5L / yr,13.0827,80.2707,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Configure fiber switches, diagnose packet drops, and map LAN routes.",Verified Employer;District Eligible,9
opp_052,Product Design Associate,Finomena,UI/UX,Bangalore,"Bangalore, KA (Hybrid)",INR 4.5L - 6.2L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Create user journey maps, wireframes, and clickable prototypes in Figma.",Verified Employer;District Eligible,10
opp_053,Retail Store Inventory Manager,Lifestyle International,Vocational & Operations,Hyderabad,"Hyderabad, TS (Hybrid)",INR 3.8L - 5.2L / yr,17.385,78.4867,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Supervise apparel floor stock, stock reconciliations, and customer satisfaction.",Verified Employer;District Eligible,11
opp_054,Apparel Quality Auditor,Eastman Exports Global,Vocational & Operations,Coimbatore,"Coimbatore, TN (On-site)",INR 4.0L - 5.5L / yr,11.0168,76.9558,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Inspect knit garment lot samples and verify measurement specs before export packing.,Verified Employer;District Eligible,12
opp_055,Technical Support Specialist,Zoho Support Division,Software Development,Salem,"Salem, TN (On-site)",INR 3.8L - 5.2L / yr,11.6643,78.146,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Assist software engineers with database queries and customer application debugging.,Verified Employer;District Eligible,13
opp_056,Backend API Developer,Informatica,Software Development,Erode,"Erode, TN (On-site)",INR 6.0L - 8.8L / yr,11.341,77.7172,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Design enterprise master-data integration endpoints in Java and SQL.,Verified Employer;District Eligible,14
opp_057,Python Data Scraper & Analyst,Entrupy India,Data Analytics,Tirunelveli,"Tirunelveli, TN (On-site)",INR 4.5L - 6.2L / yr,8.7139,77.7567,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Crawl, parse, and structure product image and metadata catalogs in Python.",Verified Employer;District Eligible,1
opp_058,Junior Machine Learning Analyst,Crayon Data,Machine Learning,Vellore,"Vellore, TN (On-site)",INR 5.0L - 7.2L / yr,12.9165,79.1325,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Train recommendation ranking algorithms using customer banking telemetry.,Verified Employer;District Eligible,2
opp_059,Linux Systems Administrator,Netmagic Solutions,Cloud & DevOps,Chennai,"Chennai, TN (Hybrid)",INR 4.2L - 6.0L / yr,13.0827,80.2707,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Maintain enterprise Linux OS patch cycles and server SSH infrastructure.,Verified Employer;District Eligible,3
opp_060,React Web Application Intern,Rapido,Web Development,Bangalore,"Bangalore, KA (Hybrid)",INR 4.0L - 5.8L / yr,12.9716,77.5946,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Build rider and captain web onboarding portals with React and responsive layouts.,Verified Employer;District Eligible,4
opp_061,Database ETL Associate,Datamatics,Database,Hyderabad,"Hyderabad, TS (Hybrid)",INR 4.2L - 6.0L / yr,17.385,78.4867,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Migrate legacy transactional records into modern PostgreSQL instances.,Verified Employer;District Eligible,5
opp_062,Digital Operations Associate,Amazon India Fulfillment,Vocational & Operations,Coimbatore,"Coimbatore, TN (On-site)",INR 3.5L - 4.8L / yr,11.0168,76.9558,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,"Track package flow metrics, conveyor sorting counts, and barcode scans.",Verified Employer;District Eligible,6
opp_063,Industrial Quality Technician,Sundram Fasteners Ltd,Vocational & Operations,Salem,"Salem, TN (On-site)",INR 3.6L - 5.0L / yr,11.6643,78.146,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Conduct precision tolerance measurement for automotive fastener batches.,Verified Employer;District Eligible,7
opp_064,Python & SQL Data Engineer,Fractal Analytics,Data Analytics,Erode,"Erode, TN (On-site)",INR 6.0L - 9.0L / yr,11.341,77.7172,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Engineer reliable data pipelines and transformation models in Python & SQL.,Verified Employer;District Eligible,8
opp_065,Full Stack Software Trainee,TCS Digital,Software Development,Tirunelveli,"Tirunelveli, TN (On-site)",INR 7.0L - 9.0L / yr,8.7139,77.7567,National Career Service (NCS) / State Portal,https://www.ncs.gov.in,Work on flagship digital customer applications across Java backends and React frontends.,Verified Employer;District Eligible,9
