opportunity_id,skill_canonical_name,importance
opp_035,Inventory Management,required
opp_035,Retail,required
opp_035,Sales,preferred
opp_036,Inventory Management,required
opp_036,Problem Solving,required
opp_036,Quality Control,required
opp_037,Customer Handling,required
opp_037,Communication,required
opp_037,Retail,required
opp_038,Quality Control,required
opp_038,Problem Solving,required
opp_038,Teamwork,required
opp_039,Python,required
opp_039,SQL,required
opp_039,Pandas,required
opp_039,Git,preferred
opp_040,Java,required
opp_040,OOP,required
opp_040,SQL,required
opp_041,React,required
opp_041,JavaScript,required
opp_041,HTML,required
opp_041,CSS,preferred
opp_042,JavaScript,required
opp_042,React,required
opp_042,Node.js,required
opp_042,PostgreSQL,preferred
opp_043,Power BI,required
opp_043,SQL,required
opp_043,Data Analysis,required
opp_043,Data Visualization,preferred
opp_044,Python,required
opp_044,Machine Learning,required
opp_044,Pandas,required
opp_044,Data Visualization,preferred
opp_045,Linux,required
opp_045,Cloud Computing,required
opp_045,Computer Networks,required
opp_046,Docker,required
opp_046,Git,required
opp_046,Linux,required
opp_046,CI/CD,preferred
opp_047,Android,required
opp_047,Kotlin,required
opp_047,REST API,required
opp_048,Flutter,required
opp_048,Dart,required
opp_048,JavaScript,required
opp_049,SQL,required
opp_049,Database Management,required
opp_049,Microsoft Excel,required
opp_050,Cybersecurity,required
opp_050,Network Security,required
opp_050,Linux,required
opp_051,Computer Networks,required
opp_051,Problem Solving,required
opp_051,Linux,required
opp_052,UI/UX Design,required
opp_052,Figma,required
opp_052,Communication,required
opp_053,Inventory Management,required
opp_053,Retail,required
opp_053,Customer Handling,required
opp_054,Quality Control,required
opp_054,Industrial Sewing Machine Operation,required
opp_055,Communication,required
opp_055,Problem Solving,required
opp_055,SQL,required
opp_056,Java,required
opp_056,REST API,required
opp_056,SQL,required
opp_056,Git,preferred
opp_057,Python,required
opp_057,Data Analysis,required
opp_057,Pandas,required
opp_058,Python,required
opp_058,Machine Learning,required
opp_058,Scikit-learn,required
opp_059,Linux,required
opp_059,Computer Networks,required
opp_059,Git,required
opp_060,React,required
opp_060,JavaScript,required
opp_060,HTML,required
opp_060,CSS,preferred
opp_061,SQL,required
opp_061,Python,required
opp_061,Database Management,required
opp_062,Inventory Management,required
opp_062,Microsoft Excel,required
opp_062,Problem Solving,required
opp_063,Quality Control,required
opp_063,Problem Solving,required
opp_064,Python,required
opp_064,SQL,required
opp_064,Pandas,required
opp_064,Data Analysis,preferred
opp_065,Java,required
opp_065,React,required
opp_065,SQL,required
opp_065,Git,preferred
